Date,Open,High,Low,Close*,Adj Close**,Volume
7-Jun-21,"34,766.20","34,820.91","34,574.51","34,630.24","34,630.24","259,120,000"
8-Jun-21,"34,645.84","34,665.38","34,452.94","34,599.82","34,599.82","289,440,000"
9-Jun-21,"34,626.16","34,654.67","34,439.37","34,447.14","34,447.14","245,100,000"
10-Jun-21,"34,502.51","34,737.79","34,447.25","34,466.24","34,466.24","309,310,000"
11-Jun-21,"34,499.81","34,618.09","34,328.65","34,479.60","34,479.60","260,840,000"
14-Jun-21,"34,472.52","34,472.52","34,211.54","34,393.75","34,393.75","295,530,000"
15-Jun-21,"34,397.10","34,420.38","34,199.16","34,299.33","34,299.33","272,430,000"
16-Jun-21,"34,308.48","34,333.25","33,917.11","34,033.67","34,033.67","347,150,000"
17-Jun-21,"34,014.38","34,091.79","33,626.61","33,823.45","33,823.45","354,690,000"
18-Jun-21,"33,622.70","33,622.70","33,271.93","33,290.08","33,290.08","563,920,000"
21-Jun-21,"33,312.07","33,908.09","33,312.07","33,876.97","33,876.97","317,260,000"
22-Jun-21,"33,872.56","34,040.70","33,751.06","33,945.58","33,945.58","284,130,000"
23-Jun-21,"33,948.54","34,009.40","33,869.83","33,874.24","33,874.24","255,280,000"
24-Jun-21,"33,933.91","34,233.02","33,933.91","34,196.82","34,196.82","275,870,000"
25-Jun-21,"34,328.10","34,501.02","34,314.80","34,433.84","34,433.84","432,550,000"
28-Jun-21,"34,428.10","34,449.65","34,186.13","34,283.27","34,283.27","280,280,000"
29-Jun-21,"34,338.89","34,469.83","34,266.83","34,292.29","34,292.29","282,360,000"
30-Jun-21,"34,290.74","34,553.16","34,245.48","34,502.51","34,502.51","295,560,000"
1-Jul-21,"34,507.32","34,640.28","34,498.85","34,633.53","34,633.53","268,280,000"
2-Jul-21,"34,642.42","34,821.93","34,613.49","34,786.35","34,786.35","301,860,000"
6-Jul-21,"34,790.16","34,814.20","34,358.42","34,577.37","34,577.37","348,430,000"
7-Jul-21,"34,604.17","34,708.78","34,435.59","34,681.79","34,681.79","302,700,000"
8-Jul-21,"34,569.01","34,569.01","34,145.59","34,421.93","34,421.93","335,690,000"
9-Jul-21,"34,457.51","34,893.72","34,457.51","34,870.16","34,870.16","301,750,000"
12-Jul-21,"34,836.75","35,014.90","34,730.15","34,996.18","34,996.18","294,800,000"
13-Jul-21,"34,959.96","35,018.79","34,876.89","34,888.79","34,888.79","322,430,000"
14-Jul-21,"34,920.83","35,069.18","34,826.87","34,933.23","34,933.23","344,340,000"
15-Jul-21,"34,924.81","34,990.41","34,762.87","34,987.02","34,987.02","320,450,000"
16-Jul-21,"35,007.94","35,090.01","34,647.82","34,687.85","34,687.85","322,980,000"
19-Jul-21,"34,528.48","34,528.48","33,741.76","33,962.04","33,962.04","440,440,000"
20-Jul-21,"33,981.79","34,621.79","33,981.79","34,511.99","34,511.99","387,020,000"
21-Jul-21,"34,556.96","34,820.24","34,556.96","34,798.00","34,798.00","317,090,000"
22-Jul-21,"34,799.68","34,879.28","34,673.03","34,823.35","34,823.35","291,610,000"
23-Jul-21,"34,855.11","35,095.33","34,855.11","35,061.55","35,061.55","314,040,000"
26-Jul-21,"35,055.86","35,150.37","34,950.19","35,144.31","35,144.31","259,790,000"
27-Jul-21,"35,078.90","35,078.90","34,878.07","35,058.52","35,058.52","326,610,000"
28-Jul-21,"35,109.95","35,116.37","34,876.84","34,930.93","34,930.93","347,170,000"
29-Jul-21,"34,985.99","35,171.52","34,985.99","35,084.53","35,084.53","222,680,000"
30-Jul-21,"35,013.26","35,106.30","34,871.13","34,935.47","34,935.47","276,410,000"
2-Aug-21,"34,968.56","35,192.11","34,808.20","34,838.16","34,838.16","238,620,000"
3-Aug-21,"34,864.10","35,120.94","34,714.33","35,116.40","35,116.40","259,820,000"
4-Aug-21,"35,047.44","35,047.44","34,790.62","34,792.67","34,792.67","245,300,000"
5-Aug-21,"34,815.61","35,067.54","34,815.61","35,064.25","35,064.25","216,580,000"
6-Aug-21,"35,077.44","35,246.79","35,077.44","35,208.51","35,208.51","231,570,000"
9-Aug-21,"35,229.67","35,229.67","35,041.24","35,101.85","35,101.85","207,850,000"
10-Aug-21,"35,135.17","35,285.16","35,091.91","35,264.67","35,264.67","255,040,000"
11-Aug-21,"35,300.89","35,501.16","35,300.89","35,484.97","35,484.97","232,800,000"
12-Aug-21,"35,481.94","35,510.77","35,352.53","35,499.85","35,499.85","231,600,000"
13-Aug-21,"35,551.56","35,610.57","35,474.78","35,515.38","35,515.38","236,790,000"
