,tweet,date,id,location,id_user,score,Country,Country_real,Compound
906,"@NickHanauer @RealMichelangel @Tesla After cancelling my tesla order, I ordered myself a Mustang Mach-E as well. https://t.co/fvwG0kw4yb",2022-12-11 23:59:54+00:00,1602090832533671936,RaiderNation,820356638,"{'neg': 0.107, 'neu': 0.769, 'pos': 0.124, 'compound': 0.0772}",RaiderNation,,0.0772
907,RT @JoshuaMZeitz: It’ll be interesting to see when/to what extent Elon has damaged Tesla’s brand. Like I was never in the market for a Tesl…,2022-12-11 23:59:52+00:00,1602090822379638784,,1336846157985746944,"{'neg': 0.103, 'neu': 0.712, 'pos': 0.185, 'compound': 0.3182}",,,0.3182
908,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:51+00:00,1602090820135313408,,1329630941887782914,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
909,"@BillyBaldwin @Elonmusk  @billybaldwin  Nope, but if Elon wants to send me one!!! I would love to have a tesla, but… https://t.co/AddpEIvbkr",2022-12-11 23:59:50+00:00,1602090817518469120,,561816511,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.826}",,,0.826
910,"RT @PuestoLoco: @RepAdamSchiff @RepMarkTakano MAGAfication of Twitter―
“Musk has experienced a ‘dramatic collapse of Tesla's share price,’…",2022-12-11 23:59:50+00:00,1602090815127490560,"Minnesota, USA",254391475,"{'neg': 0.165, 'neu': 0.722, 'pos': 0.113, 'compound': -0.25}",Minnesota USA,United States,-0.25
911,"@joncoopertweets Please consider voting on my poll, which assesses how many people would still be willing to buy a… https://t.co/GaZZQ6aRfM",2022-12-11 23:59:48+00:00,1602090806180986880,,1270483449397346305,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}",,,0.3182
912,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:47+00:00,1602090803400429568,,3047247107,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
913,"RT @aravosis: Elon Musk’s problem is that while he’s successfully cultivating a MAGA/neo-Nazi fanbase on Twitter, he’s just lost 60% of the…",2022-12-11 23:59:43+00:00,1602090788292280320,"Texas, USA",1044541375,"{'neg': 0.191, 'neu': 0.687, 'pos': 0.122, 'compound': -0.2023}",Texas USA,United States,-0.2023
914,"@sdschade @MichelleKyker @elonmusk Hahahaha - You buy a car every 15-20 years?  Oh yeah, you would have bought a Tesla bwaahahahaha",2022-12-11 23:59:43+00:00,1602090785305989123,,1507763830339915778,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.296}",,,0.296
915,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:41+00:00,1602090775940145153,,273554994,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
916,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:39+00:00,1602090770722394117,"Athens, GA",948680458916810752,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Athens GA,United States,0.0
917,@BrandonLive @GergelyOrosz Tesla already has its future laid out for the next decade. They could use a more operati… https://t.co/AyMP4d75W9,2022-12-11 23:59:39+00:00,1602090769648701440,"San Diego, CA",825088906609696768,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",San Diego CA,United States,0.0
918,@Photofeature @duty2warn Tesla's competition is the arrogance and ignorance of musk. His myopic vision will haunt him.,2022-12-11 23:59:38+00:00,1602090766066937857,,1287488983,"{'neg': 0.364, 'neu': 0.551, 'pos': 0.085, 'compound': -0.765}",,,-0.765
919,@maxlynch I always favored Musk for his awesome SpaceX and Tesla achievements but battled my appreciation for it wi… https://t.co/qxsaeys1HR,2022-12-11 23:59:36+00:00,1602090755996225541,,526499313,"{'neg': 0.105, 'neu': 0.562, 'pos': 0.333, 'compound': 0.7269}",,,0.7269
920,@SpencerFernando @ryangerritsen @elonmusk It also might hold back future Tesla ventures in Canada. Great job @MarkGerretsen!,2022-12-11 23:59:35+00:00,1602090752422645761,Toronto,1573040745698758656,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.6588}",Toronto,Canada,0.6588
921,"@elonmusk You are KILLING your legacy bro. I wanted to buy a TESLA down the road, but I won't ever support conspira… https://t.co/dbYklH3f8T",2022-12-11 23:59:34+00:00,1602090747284508672,"Sydney, New South Wales",1278838794221834240,"{'neg': 0.249, 'neu': 0.751, 'pos': 0.0, 'compound': -0.7143}",Sydney New South Wales,Australia,-0.7143
922,"RT @KetanJ0: Elon Musk teaming up with one of the worst and most influential climate delayers of the past decade. 

Truly cannot process ho…",2022-12-11 23:59:33+00:00,1602090743908245505,born at 353.01ppm,1883979798,"{'neg': 0.131, 'neu': 0.673, 'pos': 0.195, 'compound': 0.2484}",born at 35301ppm,,0.2484
923,"Even before Elmo bought Twitter, I knew fellow MOTs who were buying Mustang EVs because they didn't want to give El… https://t.co/VGfuCJnPV0",2022-12-11 23:59:33+00:00,1602090742402498560,"Norman, Oklahoma",11771172,"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.0572}",Norman Oklahoma,United States,-0.0572
924,"RT @ElefantImRaum2: #Umweltpolitk hat ich schon immer gelohnt, aber selten so deutlich, wie in den letzten Jahren. Das war bestimmt soo ich…",2022-12-11 23:59:31+00:00,1602090736354299905,,1497618477032652800,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.5994}",,,-0.5994
