tweet,date,id,location,id_user,score
@elonmusk @SawyerMerritt I'm looking for @tesla jobs.,2022-12-08 23:58:27+00:00,1601003303974105088,"ILÉ JAGUN 'LÁNLOKUN, ÒGBÓMÒSHÓ",2231700999,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
I was the only one BUT at least it is another Tesla that parked next to me lol🤷‍♀️🥹😁 https://t.co/YFTJv6SnjO,2022-12-08 23:58:27+00:00,1601003302451306498,,1552109868278063104,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@SpaceX @elonmusk Keep up the great work SpaceX, Tesla and Twitter!",2022-12-08 23:58:26+00:00,1601003300106948608,,1349669920565587973,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.6588}"
@kelly_ques The one that I own a Tesla,2022-12-08 23:58:20+00:00,1601003275209551873,,507526556,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
nikola tesla looks so much like a dork here in a very very good way!!! i want to squish his cheeks https://t.co/whWUOoP7QD,2022-12-08 23:58:17+00:00,1601003259971313664,header cred: @pakosun,1012218293065846786,"{'neg': 0.101, 'neu': 0.569, 'pos': 0.33, 'compound': 0.7206}"
"If the first thing that comes to mind when you hear the phrase ""electric vehicle"" is some wealthy guy driving a gle… https://t.co/PMsnJPLk8b",2022-12-08 23:58:16+00:00,1601003258742456321,"New York, NY",331803536,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3612}"
"@Techgnostik @bennybob60 @Tesla @elonmusk Known fault that affects the 12V battery is what I said, in fairness.",2022-12-08 23:58:11+00:00,1601003238060593152,"City of London, London",91558768,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4019}"
"RT @pills_truth: Victor Schauberger the inventor of water vortex. 

Victor was the Nikola Tesla of water, a truly incredible inventor and n…",2022-12-08 23:58:08+00:00,1601003222860111872,Wakanda,321363170,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}"
"RT @elonmusk: @iliketeslas I continue to oversee both Tesla &amp; SpaceX, but the teams there are so good that often little is needed from me",2022-12-08 23:58:07+00:00,1601003220502921216,"Studland, England",37489774,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7279}"
"RT @QasimRashid: Hate speech under new Twitter:
•Anti-Black Slurs:🔺202%
•Antisemitism:🔺61%
•Homophobic Slurs:🔺58%

Meanwhile:
•Top 100 Adve…",2022-12-08 23:58:06+00:00,1601003217873031169,"GTA, Ontario, Canada",771863741906481153,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.5719}"
"RT @elonmusk: @iliketeslas I continue to oversee both Tesla &amp; SpaceX, but the teams there are so good that often little is needed from me",2022-12-08 23:58:06+00:00,1601003213721047040,Gwinnett County,768661014690738176,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7279}"
@elonmusk Can’t wait for Tesla and Twitter to unionize.,2022-12-08 23:58:05+00:00,1601003213326385152,"Maryland, USA",1537807787421581313,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @EzerRatchaga: 👉 The Twitter Overhang is forever!

EXCLUSIVE: Elon Musk’s bankers are considering offering him new margin loans backed b…",2022-12-08 23:58:05+00:00,1601003212332445701,"Ontario, Canada",868203088959737856,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.3869}"
